timestamps,TP9_0,TP9_1,TP9_2,TP9_3,TP9_4,TP9_5,TP9_6,TP9_7,TP9_8,TP9_9,TP9_10,TP9_11,TP9_12,TP9_13,TP9_14,AF7_0,AF7_1,AF7_2,AF7_3,AF7_4,AF7_5,AF7_6,AF7_7,AF7_8,AF7_9,AF7_10,AF7_11,AF7_12,AF7_13,AF7_14,AF8_0,AF8_1,AF8_2,AF8_3,AF8_4,AF8_5,AF8_6,AF8_7,AF8_8,AF8_9,AF8_10,AF8_11,AF8_12,AF8_13,AF8_14,TP10_0,TP10_1,TP10_2,TP10_3,TP10_4,TP10_5,TP10_6,TP10_7,TP10_8,TP10_9,TP10_10,TP10_11,TP10_12,TP10_13,TP10_14,drowsy
0.0,3.0974926629896977,5.560717418717723,23.994845342010272,56.24573480721224,68.55289489002236,1.7952318290079572,7.746538233556448,18.158472328042222,22.13173761769468,4.31506288401603,10.114834215075481,12.32806663745743,2.3440757381643538,2.856984236110065,1.2188105484797047,3.6118764786308484,3.9793331061541,4.2929513677962285,9.376306467092686,0.9146726472424889,1.101735657267699,1.188565387879365,2.5959654275461146,0.25324029009685656,1.0788117640006345,2.3562507126111365,0.22985576297393487,2.1841166283479185,0.21306382692893927,0.09755148793958969,1.3244532276366363,5.138356170860494,10.984058635620663,6.68278476894957,18.094167684089854,3.8796056090477524,8.293277864723615,5.0456932940352885,13.661613189902685,2.13766003569605,1.3005686150850144,3.5213922667917585,0.6084076014741662,1.647311643567845,2.7075789973307756,2.4118257239589127,4.54856872104758,54.82653040090519,52.74382801487457,67.64195251474388,1.8859441940030772,22.73237649646994,21.868838818211852,28.045953670198188,12.05357855696596,11.595697734721076,14.871041125913838,0.9620128727679578,1.2337449045221198,1.282461949778613,1
3.0,1.947506895846109,4.260012150920619,11.932403107163026,34.74985602234705,114.8309187973703,2.1874182628091923,6.127014560315025,17.84325185007867,58.96303578811265,2.801025603784804,8.157219930660847,26.955537855110233,2.912226121617254,9.623452859083956,3.304500563211671,0.7730173448712253,2.810111538212545,1.6609381286392775,3.808235340874438,0.3445957968826497,3.635250304352062,2.1486427693494616,4.92645522916286,0.44578016155647177,0.5910577235292827,1.3551901015632921,0.12262708871045029,2.2928219150428752,0.2074705799938253,0.09048700146864463,2.91446790881017,4.6816236967391704,3.772858289101731,6.842638117507187,15.415594629058088,1.606339079111851,1.2945273055492308,2.347817279724549,5.289334146537746,0.8058867037369086,1.4615950705891205,3.2927880640631817,1.8136483252691509,4.085919334311479,2.252872994936941,2.572203050647755,4.866889571905106,10.5448894135216,53.06994031880775,107.48483682956073,1.8921094004143577,4.099555597240308,20.63209601801973,41.78707307049222,2.166658860392817,10.904282814461709,22.08491383285827,5.032764046890499,10.193073878208155,2.0253430884577157,1
6.0,1.7871663263572661,2.431355744730502,2.477819931089299,6.845271248624873,10.430336203967109,1.3604529745624012,1.386451778184392,3.8302373694436196,5.836242575825041,1.0191104022763842,2.8154132785630765,4.2899259915266885,2.762618527172616,4.20948111406212,1.5237286916953698,3.353879215849245,3.2026584600617296,2.117873530914891,4.661890238361246,0.6410908502612859,0.954911687018155,0.6314698278061329,1.3899994419389952,0.1911490572563608,0.661286102569323,1.4556314063758737,0.20017459190728978,2.201212759076967,0.3027049731266738,0.137517362589524,4.100610735741977,3.0599696306320925,5.831732637904086,17.75015659592339,54.9202364419476,0.746222898935666,1.4221619689655507,4.328661689637707,13.393184572056231,1.9058138942050336,5.800762340329754,17.947967813851417,3.043719199428656,9.417481879225148,3.0940705308797627,1.2012794307993169,2.1631322534825443,4.92276654057433,8.71218516211645,17.66863301280914,1.8006903290129774,4.097936262255636,7.252421825219687,14.708179096226296,2.275758466755281,4.0275785949242024,8.168078019438454,1.7697741890274599,3.58916736497274,2.028036902801191,1
9.0,1.5903650095478925,5.708274172737265,7.444474545337584,15.524590780497144,64.91400060659291,3.589285565557059,4.68098486865848,9.761652631499016,40.81704528009365,1.3041550423230226,2.7196645274402966,11.37191358407807,2.08538435935953,8.719755868766862,4.181366293283652,3.1903518570614224,6.306625154158041,5.839861296498937,14.76725357217825,2.8883592240171856,1.9767804420064699,1.8304756209172277,4.628722546540716,0.9053419037853722,0.9259883303272972,2.3415461060725966,0.457988092428936,2.5286993684304426,0.49459380580644774,0.19559217358188405,6.216165595748453,6.584755561018008,12.797509188851548,29.11858099704049,58.71418943759756,1.0592953903161222,2.058746504051373,4.684331610624425,9.445403043598956,1.9435055819859535,4.4221202635711405,8.916684741524453,2.275331907743963,4.587938838031543,2.016382235232035,3.0021915677022064,4.690650152508404,11.688463550519367,37.88085595076212,79.43290901453626,1.5624086760387834,3.893310365755704,12.61773444382667,26.4583079471281,2.491864276910263,8.07582205432752,16.934306851270538,3.240875568207501,6.795838364145536,2.0969143125430922,1
12.0,13.381601989836998,20.425734860774355,30.397695562521044,33.156718232878745,67.30496429128614,1.5264043031833712,2.2716036230645145,2.4777839198969205,5.029664186874085,1.488205725263617,1.6232815347345477,3.295106136941922,1.0907642049603081,2.214146929422836,2.0299042811946757,1.1078209856421837,2.612758010808728,1.4534278521249309,1.9459267103749331,0.4837467163931786,2.3584658935614584,1.311969958108715,1.7565353388272518,0.4366650593035656,0.5562810815667735,0.7447787748902966,0.1851479220011823,1.3388533235619244,0.33283159923344974,0.24859451993439788,0.5952243162101128,1.8079591753181248,2.735153765905557,3.677523766587851,7.072547519358596,3.0374417275653087,4.59516469911833,6.178382949814996,11.882154889757565,1.5128404464245078,2.034074561413015,3.911895586975367,1.344540044669223,2.58579521470414,1.9231820018720858,12.46308047775203,42.383775636290665,25.648801794795723,31.54411821899953,86.57162955767525,3.4007463653909937,2.0579825221045196,2.5310049369663665,6.946246532886884,0.6051561336794687,0.744249839601128,2.042565303775089,1.2298476346524692,3.3752699346462687,2.7444618662864313,1
15.0,2.213469363646004,13.783768983504524,17.49376483729225,48.179166650097926,80.98881956105207,6.227223746526151,7.903323680286544,21.76635802663096,36.58908539291825,1.2691568509474873,3.495355059110137,5.875665767321984,2.754076500868025,4.629582043334922,1.6809925366545844,1.3410062400687097,3.7390427468540115,3.0426317438986334,10.433377832321076,1.777681435615309,2.7882366503100187,2.2689169170031134,7.780260464549738,1.3256324858892716,0.8137461778041103,2.7903874169664427,0.47543758014294707,3.4290636233724476,0.5842578350732324,0.1703840754341621,2.454915502583257,1.7249843527071211,2.8253886100059464,5.974689490533425,12.440607344265068,0.7026654688896443,1.1509107368595164,2.433765840105854,5.067631586982963,1.637921297994324,3.4636195285812232,7.212011705927233,2.1146434403304437,4.403149110252443,2.0822182247255765,2.966903039488109,12.565102589655593,24.85314314032676,46.176477877941565,43.11448589412956,4.235090403164472,8.376796548300671,15.563864832572543,14.531814933044885,1.977949878482288,3.6749781825066066,3.4312880126919296,1.8579733604404955,1.7347699504523395,0.9336893560417107,1
18.0,5.289942507723745,4.765420253580133,3.753488092633874,22.949166090068935,34.24118467434381,0.9008453771704009,0.7095517743630441,4.338263800894111,6.472884086046098,0.7876510135310687,4.815769621331475,7.185344177907358,6.114090553558994,9.122497215734153,1.4920448324770024,1.8684857805776456,3.3351426865918667,4.3692962898030085,4.903411223939194,0.6501032156695494,1.784944108892711,2.3384155957837867,2.6242700238389265,0.34793051273238423,1.310077768896877,1.4702253200896531,0.19492515815983882,1.122242782066003,0.14878899771268647,0.1325818264019235,1.7500600498000276,0.9423353057493202,2.9281132512435453,4.04047586350603,4.516800677889961,0.5384588408020612,1.6731501593777478,2.3087641272467874,2.580940395963029,3.1072944347714815,4.2877262889913155,4.793199034709116,1.3798905700761654,1.5425635179826853,1.117888295952005,1.231883368514685,3.0925358211790455,4.381751597334587,6.514113771843711,16.107227607809254,2.5104128363286526,3.5569532874023477,5.287930609614409,13.075286199561386,1.4168798198961592,2.1063988094275885,5.208420706883935,1.48664606542421,3.675979171801354,2.4726659944796103,1
21.0,4.362972058113785,4.5862736383362135,21.409858468711544,26.636430222963117,86.24740223464094,1.0511810704373308,4.9071729508090245,6.105111347992146,19.768039099459124,4.668247068763763,5.807858911930549,18.805550875487967,1.2441198647758325,4.028396654778604,3.237948986132817,1.9465375817389468,1.9784340354365102,3.2936103088066546,10.559224510334056,2.6742416887693077,1.0163862511552788,1.6920353039699831,5.4246188768166155,1.3738453928951444,1.6647561909133715,5.337162786933319,1.3516961601296344,3.205972631947429,0.811948420740231,0.25326118278402854,3.1765043927505423,4.702665907062341,21.920588080783336,13.422645709545709,32.51142352971485,1.4804531414453017,6.900852437292633,4.225602753825569,10.234968855674438,4.661310948724545,2.854263087111489,6.913402774560284,0.6123305478885697,1.483145589429508,2.4221322854848113,4.203068124962466,6.251392680488711,26.07860675037845,62.599743069447015,109.20435652711417,1.4873403177457505,6.204659542750413,14.89382070627419,25.982057221137563,4.171647516524225,10.013727543436481,17.468804490230323,2.400425132701484,4.187507314804285,1.7444856987027064,1
24.0,1.6550586930707145,5.153047751121344,17.4786733335641,37.307410230497226,123.65151383804753,3.11351360087456,10.56075739594167,22.541442419349426,74.71125607553567,3.3919098323435106,7.239872796129017,23.995802059303642,2.1344532001096574,7.074422153116217,3.3143955335974424,3.0104191502066793,4.44997331406931,9.15831596432462,20.022224992759053,3.209494546625092,1.4781906080300473,3.042206253470006,6.650975825537262,1.0661287968503474,2.0580608731672894,4.499403385062007,0.7212390547327007,2.186234354738774,0.35044592904715055,0.1602965977949899,2.82857723096036,6.270136458475685,10.411409328603103,27.769776830111347,49.85781527371017,2.2167103623141466,3.680793727194154,9.817577729946917,17.626464191250818,1.6604757165259831,4.428895130754839,7.951631611831135,2.667244745994173,4.788767178400773,1.795398485869296,5.377389285687676,22.989289554871725,30.07272812420524,128.47794435884873,177.0093080393094,4.275176732333558,5.592440220804928,23.892252826255746,32.91733193102328,1.3081190722499925,5.588600032732312,7.69964237549911,4.272241075974684,5.886040910828983,1.3777408170923786,1
27.0,2.293937477826813,8.384691914982753,8.502628185556869,64.5571076955803,81.61162072698879,3.655152765072779,3.7065649206847295,28.142487892363654,35.57709027200884,1.0140656653541886,7.699401283930549,9.733407208576807,7.5926062255951985,9.59839933558658,1.264177154773247,1.5549678490043282,7.96832862721942,13.832675538060757,18.162498858877516,5.74704627280346,5.124433043629599,8.895795206902863,11.680305075444016,3.695926109651328,1.735956959758037,2.279336070155956,0.7212361012787339,1.3130141604856707,0.4154688843087803,0.31642376511392883,2.1679052043776657,3.7979093644477095,9.074241246152743,9.807467599240965,19.003026145651617,1.7518798131848965,4.185718650349226,4.523937476341992,8.765616737889959,2.38927272227633,2.5823332412955473,5.003549142994103,1.0808030482327204,2.0941724635884498,1.937607843549983,3.793648582581848,9.678920449303181,15.437561311591349,41.45105781882473,47.63768406500053,2.5513487184192445,4.069317696549792,10.926435835185961,12.55722110996894,1.594967268555529,4.282611685460122,4.92179725151374,2.685078101532854,3.085829627068856,1.1492513477754043,1
