classification, true_output, bin_output
78,0.9992859,1
79,0.99994946,1
80,0.99999964,1
81,1.0,1
82,1.0,1
83,1.0,1
84,1.0,1
85,1.0,1
86,1.0,1
87,0.9999987,1
88,0.9999701,1
89,0.9999902,1
90,0.99974173,1
91,0.9988586,1
92,0.9998317,1
93,0.99998534,1
94,0.99998426,1
95,0.99998605,1
96,0.99999976,1
97,0.9999993,1
98,0.99999857,1
99,0.9999999,1
100,0.9999995,1
101,0.999998,1
102,0.9999974,1
103,0.9999989,1
104,0.9999312,1
105,nan,0
1,0.99980146,1
2,0.999501,1
3,0.9999628,1
4,0.99841964,1
5,0.9885387,1
6,0.87035114,1
7,0.21287261,0
8,0.034853622,0
9,0.0062913,0
10,0.0013145856,0
11,0.0012719544,0
12,0.0009113242,0
13,0.00013885058,0
14,0.0020017389,0
15,0.06045034,0
16,0.9455317,1
17,0.9993612,1
18,0.99999726,1
19,1.0,1
20,1.0,1
21,1.0,1
22,1.0,1
23,1.0,1
24,1.0,1
25,1.0,1
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,1
30,0.99999964,1
31,0.99996984,1
32,0.99994445,1
33,0.9954652,1
34,0.9877434,1
35,0.9928598,1
36,0.9435725,1
37,0.98962945,1
38,0.94392735,1
39,0.9437533,1
40,0.1125611,0
41,0.891012,1
42,0.9816737,1
43,0.94953996,1
44,0.9542635,1
45,0.9991386,1
46,0.9898211,1
47,0.9954531,1
48,0.9999145,1
49,0.9999789,1
50,0.99774444,1
51,0.99611664,1
52,0.99998796,1
53,0.9999932,1
54,0.99922335,1
55,0.99640286,1
56,0.9943439,1
57,0.98883384,1
58,0.9549227,1
59,0.9759169,1
60,0.97281355,1
61,0.99962413,1
62,0.99762195,1
63,0.9952361,1
64,0.9502783,1
65,0.99654007,1
66,0.998601,1
67,0.9592259,1
68,0.99945,1
69,0.9997776,1
70,0.996666,1
71,0.99872017,1
72,0.99999213,1
73,0.9999671,1
74,0.99999964,1
75,0.9999999,1
76,1.0,1
77,1.0,1
78,1.0,1
79,1.0,1
80,0.9999999,1
81,0.9999976,1
82,0.99999607,1
83,0.9998388,1
84,0.99997985,1
85,0.9998209,1
86,0.9999,1
87,0.9999994,1
88,0.99999976,1
89,1.0,1
90,1.0,1
91,1.0,1
92,1.0,1
93,1.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,1
98,1.0,1
99,1.0,1
100,1.0,1
101,1.0,1
102,1.0,1
103,1.0,1
104,1.0,1
105,nan,0
1,0.9997445,1
2,0.99425405,1
2,0.9997445,1
3,0.99604934,1
4,0.994383,1
5,0.96735585,1
6,0.8776288,1
7,0.9303784,1
8,0.560107,1
9,0.3188304,0
10,0.9982583,1
11,0.9977342,1
12,0.9997805,1
13,0.9999528,1
14,0.9999995,1
15,0.9999999,1
16,0.9999999,1
17,1.0,1
18,1.0,1
19,0.9999999,1
20,1.0,1
21,1.0,1
22,1.0,1
23,1.0,1
24,1.0,1
25,0.9999999,1
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,1
30,1.0,1
31,1.0,1
32,1.0,1
33,1.0,1
34,1.0,1
35,1.0,1
36,1.0,1
37,1.0,1
38,1.0,1
39,1.0,1
40,1.0,1
41,1.0,1
42,0.9999974,1
43,0.9999194,1
44,0.99985325,1
45,0.9999981,1
46,0.99998343,1
47,0.9999634,1
48,0.99889165,1
49,0.9999889,1
50,0.9999927,1
51,0.9999995,1
52,0.99999976,1
53,0.9999999,1
54,1.0,1
55,1.0,1
56,1.0,1
57,1.0,1
58,1.0,1
59,1.0,1
60,1.0,1
61,1.0,1
62,1.0,1
63,1.0,1
64,1.0,1
65,1.0,1
66,1.0,1
67,1.0,1
68,1.0,1
69,1.0,1
70,1.0,1
71,1.0,1
72,1.0,1
73,1.0,1
74,1.0,1
75,1.0,1
76,1.0,1
77,1.0,1
78,1.0,1
79,1.0,1
80,1.0,1
81,1.0,1
82,1.0,1
83,1.0,1
84,1.0,1
85,1.0,1
86,1.0,1
87,1.0,1
88,1.0,1
89,1.0,1
90,1.0,1
91,1.0,1
92,0.9999999,1
93,0.99999976,1
94,0.9999999,1
95,1.0,1
96,1.0,1
97,1.0,1
98,1.0,1
99,1.0,1
100,1.0,1
101,1.0,1
102,1.0,1
103,1.0,1
104,1.0,1
105,1.0,1
106,1.0,1
107,1.0,1
108,0.99999976,1
109,nan,0
2,1.0,1
3,1.0,1
4,1.0,1
5,1.0,1
6,1.0,1
7,1.0,1
8,1.0,1
9,1.0,1
10,1.0,1
11,1.0,1
12,1.0,1
13,1.0,1
14,1.0,1
15,1.0,1
16,1.0,1
17,1.0,1
18,1.0,1
19,1.0,1
20,1.0,1
21,1.0,1
22,1.0,1
23,1.0,1
24,1.0,1
25,1.0,1
26,1.0,1
27,1.0,1
28,1.0,1
29,1.0,1
30,1.0,1
31,1.0,1
32,1.0,1
33,1.0,1
34,1.0,1
35,1.0,1
36,1.0,1
37,1.0,1
38,1.0,1
39,1.0,1
40,1.0,1
41,1.0,1
42,1.0,1
43,1.0,1
44,1.0,1
45,1.0,1
46,1.0,1
47,1.0,1
48,1.0,1
49,1.0,1
50,1.0,1
51,1.0,1
52,1.0,1
53,1.0,1
54,1.0,1
55,1.0,1
56,1.0,1
57,1.0,1
58,1.0,1
59,1.0,1
60,1.0,1
61,1.0,1
62,1.0,1
63,1.0,1
64,1.0,1
65,1.0,1
66,1.0,1
67,1.0,1
68,1.0,1
69,1.0,1
70,1.0,1
71,1.0,1
72,1.0,1
73,1.0,1
74,1.0,1
75,1.0,1
76,1.0,1
77,1.0,1
78,1.0,1
79,1.0,1
80,1.0,1
81,1.0,1
82,1.0,1
83,1.0,1
84,0.9999982,1
85,0.9999746,1
86,0.9999858,1
87,0.99999964,1
88,0.9999988,1
89,0.9999995,1
